doc_id,year,doc_name_short,doc_name
56,2000,Subjacency Constraints without Universal,Subjacency Constraints without Universal Grammar Evidence from Artificial Language Learning and Connectionist Modeling
57,2000,Individual Differences in Exemplar-Based,Individual Differences in Exemplar-Based Interference During Instructed Category Learning
58,2000,The Direct Route Mediated Priming in Sem,The Direct Route Mediated Priming in Semantic Space
59,2000,Word learning as Bayesian inference,Word learning as Bayesian inference
60,2000,What are fallacies good for Representati,What are fallacies good for Representational speed-up in Propositional Reasoning
61,2000,The Advantages and Disadvantages of Sema,The Advantages and Disadvantages of Semantic Ambiguity
62,2000,Retrospective Effects in Human Causality,Retrospective Effects in Human Causality Judgment
63,2000,Memory versus Perceptual-Motor Tradeoffs,Memory versus Perceptual-Motor Tradeoffs in a Blocks World Task
64,2000,The Chinese Room Just Say No,The Chinese Room Just Say No
65,2000,Discovering and Describing Category Diff,Discovering and Describing Category Differences What makes a discovered difference insightful
66,2000,Algorithm Heuristic or Exemplar Process ,Algorithm Heuristic or Exemplar Process and Representation in Multiple-Cue Judgment
67,2000,The Dynamics of Simple Prediction Judgin,The Dynamics of Simple Prediction Judging Reachability
68,2000,Neighborhood and Position Effects Intera,Neighborhood and Position Effects Interact in Naming Latency
69,2000,Attention to Action Securing Task-Releva,Attention to Action Securing Task-Relevant Control in Spoken Production
70,2000,Work at the Interface between Representi,Work at the Interface between Representing and Represented Worlds in Middle School Mathematics Design Projects
71,2000,Simulating Casual Models The Way to Stru,Simulating Casual Models The Way to Structural Sensitivity
72,2000,Constituent Structure in Mathematical Ex,Constituent Structure in Mathematical Expression
73,2000,Eye Movements During Comprehension of Sp,Eye Movements During Comprehension of Spoken Descriptions
74,2000,A Dynamical Model of Insightful Memory R,A Dynamical Model of Insightful Memory Retrieval
75,2000,A Rarity Heuristic for Hypothesis Testin,A Rarity Heuristic for Hypothesis Testing
76,2000,Problem Solving Phenomena in Search of a,Problem Solving Phenomena in Search of a Thesis
77,2000,Learning-Based Constraints on Schemata,Learning-Based Constraints on Schemata
78,2000,Controlled Exploration of Alternative Me,Controlled Exploration of Alternative Mechanisms in Cognitive Modeling
79,2000,In Search of the Minority Default The Ca,In Search of the Minority Default The Case of Arabic Plurals
80,2000,A Generative Connectionist Model of the ,A Generative Connectionist Model of the Development of Rule Use in Children
81,2000,ANCHOR A Memory-Based Model of Category ,ANCHOR A Memory-Based Model of Category Rating
82,2000,Regularity and Irregularity in French In,Regularity and Irregularity in French Inflectional Morphology
83,2000,A Sensorimotor Map of Visual Space,A Sensorimotor Map of Visual Space
84,2000,Searching for Alternatives in Spatial Re,Searching for Alternatives in Spatial Reasoning Local Transformations and Beyond
85,2000,Decoding Syntactic Parameters The Superp,Decoding Syntactic Parameters The Superparsers as Oracle
86,2000,An Inquiry Into the Function of Implicit,An Inquiry Into the Function of Implicit Knowledge and its Role in Problem Solving
87,2000,Prosodic Choice Effects of Speaker Aware,Prosodic Choice Effects of Speaker Awareness and Referential Context
88,2000,The influence of Source and Cost of Info,The influence of Source and Cost of Information Access on Correct and Errorful Interactive Behavior
89,2000,Preschool Childrens Use of Category Info,Preschool Childrens Use of Category Information to Interpret Negations
90,2000,Verb Meanings Object Affordances and the,Verb Meanings Object Affordances and the Incremental Restrictions of Reference
91,2000,Human Belief Revision and the Order Effe,Human Belief Revision and the Order Effect
92,2000,Situating GOMS Models Within Complex Soc,Situating GOMS Models Within Complex Sociotechnical Systems
93,2000,Does Collaborative Learning Lead to the ,Does Collaborative Learning Lead to the Construction of Common Knowledge
94,2000,Evaluating the Effectiveness of a Cognit,Evaluating the Effectiveness of a Cognitive Tutor for Fundamental Physics Concepts
95,2000,Memory in Chains Modeling Primacy and Re,Memory in Chains Modeling Primacy and Recency Effects in Memory for Order
96,2000,Two Views are Better than One Epistemic ,Two Views are Better than One Epistemic Actions May Prime
97,2000,Organising Principles in Lexical Represe,Organising Principles in Lexical Representation Evidence form Polish
98,2000,Deep Learning in Virtual Reality How to ,Deep Learning in Virtual Reality How to Teach Children That the Earth is Round
99,2000,A Simple Categorisation Model of Anaphor,A Simple Categorisation Model of Anaphor Resolution
100,2000,Learning the Use of Discourse Markers in,Learning the Use of Discourse Markers in Tutorial Dialogue for an Intelligent Tutoring System
101,2000,The Resemblance of One-year-old Infants ,The Resemblance of One-year-old Infants to Their Fathers Refuting Christenfeld  Hill
102,2000,Modeling Orientation Effects in Symmetry,Modeling Orientation Effects in Symmetry
103,2000,Computational Explorations of the Irrele,Computational Explorations of the Irrelevant Sound Effect in Serial Short-Term Memory
104,2000,Constraints of Embodiments on Action Coo,Constraints of Embodiments on Action Coordination
105,2000,The Use of a High-dimensional Environmen,The Use of a High-dimensional Environmental Context Space to Model retrieval in Analogy and Similarity-Based Transfer
106,2000,Is Lexical Retrieval in Speech Productio,Is Lexical Retrieval in Speech Production like Recall or Recognition The Effects of Word Frequency and Neighbourhood Size
107,2000,A Neural Network Model of Concept-Influe,A Neural Network Model of Concept-Influenced Segmentation
108,2000,Handedness and Heterogeneity in Cognitiv,Handedness and Heterogeneity in Cognitive Science
109,2000,Infinite RAAM A Principled Connectionist,Infinite RAAM A Principled Connectionist Basis for Grammatical Competence
110,2000,Irregularization The Interaction of Item,Irregularization The Interaction of Item Frequency and Phonological Interference in Regular Past Tense Production
111,2000,The Determinants of Basel-Level Performa,The Determinants of Basel-Level Performance
112,2000,Latent Semantic Analysis Captures Casual,Latent Semantic Analysis Captures Casual Goal-oriented and Taxonomic Structures
113,2000,Declarative and Procedural Learning in A,Declarative and Procedural Learning in Alphabetic Retrieval
114,2000,Vagueness in Context,Vagueness in Context
115,2000,Clarifying Word Meanings in Computer-Adm,Clarifying Word Meanings in Computer-Administered Survey Interviews
116,2000,Representational Scaffolding During Scie,Representational Scaffolding During Scientific Inquiry Interpretive and Expressive use of Inscriptions in Classroom Learning
117,2000,Mapping the SyntaxSemantics Coastline,Mapping the SyntaxSemantics Coastline
118,2000,The Implications of Cognitive Science fo,The Implications of Cognitive Science for the Significance of Experimentation in Science Teaching
119,2000,Attention to Action Securing Task-Releva,Attention to Action Securing Task-Relevant Control in Spoken Word Production
120,2000,Representing Categories in Artificial Ne,Representing Categories in Artificial Neural Networks Using Perceptual Derived Feature Networks
121,2000,Motivating Base-Rate Sensitivity (Someti,Motivating Base-Rate Sensitivity (Sometimes) Testing Predictions of the RCCL Framework
122,2000,An Optimality-Theoretic Model of Acquisi,An Optimality-Theoretic Model of Acquisition of Tense and Agreement in French
123,2000,Adding syntactic information to LSA,Adding syntactic information to LSA
124,2000,Unity of Consciousness What It Is and Wh,Unity of Consciousness What It Is and Where It Is Found
125,2000,The Area Activation Model of Saccadic Se,The Area Activation Model of Saccadic Selectivity in Visual Search
126,2000,Learning and Generalizing New Concepts,Learning and Generalizing New Concepts
127,2000,Hidden Markov Models for Coding Story Re,Hidden Markov Models for Coding Story Recall Data
128,2000,Visual Learning for a Mid Level Pattern ,Visual Learning for a Mid Level Pattern Discrimination Task
129,2000,Attentional Biases in Artificial Noun Le,Attentional Biases in Artificial Noun Learning Tasks Generalizations Across the Structure of Already-Learned Nouns
130,2000,Rational Assessments of Covariation and ,Rational Assessments of Covariation and Causality
131,2000,Measuring Verb Similarity,Measuring Verb Similarity
132,2000,Teaching and Supporting the Use of Quali,Teaching and Supporting the Use of Qualitative and Quantitative Concepts in Classical Mechanics
133,2000,Subgoal Learning and the Effect of Conce,Subgoal Learning and the Effect of Conceptual vs Computational Equations on Transfer
134,2000,Function-Follows-Form Transformation in ,Function-Follows-Form Transformation in Scientific Problem Solving
135,2000,Categorization and the Ratio Rule,Categorization and the Ratio Rule
136,2000,Zen in the Art of Language Acquisition S,Zen in the Art of Language Acquisition Statistical Learning and the Less is More Hypothesis
137,2000,Dueling Theories Thought Experiments in ,Dueling Theories Thought Experiments in Cognitive Science
138,2000,Non-Linguistic Constraints on the Acquis,Non-Linguistic Constraints on the Acquisition of Phrase Structure
139,2000,Viewpoint Dependent Facial Expressions R,Viewpoint Dependent Facial Expressions Recognition Japanese Noh Masks and the Human Face
140,2000,A Process of Childrens Early Verb Use,A Process of Childrens Early Verb Use
141,2000,Infant Familiarization to Artificial Sen,Infant Familiarization to Artificial Sentences Rule-like Behavior Without Explicit Rules and Variables
142,2000,Strategies and Tactics in Sentential Rea,Strategies and Tactics in Sentential Reasoning
143,2000,Linguistic Labels and the Development of,Linguistic Labels and the Development of Inductive Interference
144,2000,Precursors to Number Making the Most of ,Precursors to Number Making the Most of Continuous Amount
145,2000,Four letter good six letters better Expl,Four letter good six letters better Exploring the exterior letters effect with a split architecture
146,2000,Dynamic Extension of Episode Representat,Dynamic Extension of Episode Representation in Analogy-Making in AMBR
147,2000,The Primacy of One-to-One Generalization,The Primacy of One-to-One Generalization in Young Childrens Induction
148,2000,Harmonia loosely praestabilitia discover,Harmonia loosely praestabilitia discovering adequate inductive strategies
149,2000,Reaction Times and Predictions in Sequen,Reaction Times and Predictions in Sequence Learning A Comparison
150,2000,Path and Manner Priming Verb and Event R,Path and Manner Priming Verb and Event Recognition
151,2000,An Exemplar Model of Classification in S,An Exemplar Model of Classification in Single and Combined Categories
152,2000,Lexical Contact During Speech Perception,Lexical Contact During Speech Perception A Connectionist Model
153,2000,Committing to an Ontology A Connectionis,Committing to an Ontology A Connectionist Account
154,2000,Goal Specificity and Learning with a Mul,Goal Specificity and Learning with a Multimedia Program
155,2000,A Constructivist Model of Robot Percepti,A Constructivist Model of Robot Perception and Performance
156,2000,Learning from a Computer Workplace Simul,Learning from a Computer Workplace Simulation
157,2000,Reasoning from shared structure,Reasoning from shared structure
158,2000,The Role of Mental Imagery in Understand,The Role of Mental Imagery in Understanding Unknown Idioms
159,2001,How to Solve the Problem of Compositiona,How to Solve the Problem of Compositionality by Oscillatory Networks
160,2001,What does he mean,What does he mean
161,2001,The Influence of Recall Feedback in Info,The Influence of Recall Feedback in Information Retrieval on User Satisfaction and User Behavior
162,2001,A Comparative Evaluation of Socratic ver,A Comparative Evaluation of Socratic versus Didactic Tutoring
163,2001,Reversing Category Exclusivities in Infa,Reversing Category Exclusivities in Infant Perceptual Categorization Simulations and Data
164,2001,The Emergence of Words,The Emergence of Words
165,2001,Learning Grammatical Constructions,Learning Grammatical Constructions
166,2001,Judging the Probability of Representativ,Judging the Probability of Representative and Unrepresentative Unpackings
167,2001,The Emergence of Semantic Categories fro,The Emergence of Semantic Categories from Distributed Featural Representations
168,2001,Comprehension of Action Sequences The Ca,Comprehension of Action Sequences The Case of Paper Scissors and Rock
169,2001,Synfire Chains and Catastrophic Inferenc,Synfire Chains and Catastrophic Inference
170,2001,Active inference in concept learning,Active inference in concept learning
171,2001,The Interaction of Explicit and Implicit,The Interaction of Explicit and Implicit Learning An Integrated Model
172,2001,Learning Perceptual Chunks for Problem D,Learning Perceptual Chunks for Problem Decomposition
173,2001,A Potential Limitation of Embedded-Teach,A Potential Limitation of Embedded-Teaching for Formal Learning
174,2001,Semantic Effect on Episodic Associations,Semantic Effect on Episodic Associations
175,2001,Testing a Computational model of categor,Testing a Computational model of categorisation and category combination Identifying disease categories and new disease combination
176,2001,Spoken Language Comprehension Improves t,Spoken Language Comprehension Improves the Efficiency of Visual Search
177,2001,Graph-based Reasoning From Task Analysis,Graph-based Reasoning From Task Analysis to Cognitive Explanation
178,2001,Representation and Generalisation in Ass,Representation and Generalisation in Associative Systems
179,2001,Cognitive U ncertainty in Syllogistic Re,Cognitive U ncertainty in Syllogistic Reasoning An Alternative M ental M odels Theory
180,2001,Taxonomic relations and cognitive econom,Taxonomic relations and cognitive economy in conceptual organization
181,2001,Rational imitation of goal-directed acti,Rational imitation of goal-directed actions in 14-month-olds
182,2001,Real Wordl Constraints on the Mental Lex,Real Wordl Constraints on the Mental Lexicon Assimilation the Speech Lexicon and the Information Structure of Spanish Words
183,2001,Prototype Abstraction in Category Learni,Prototype Abstraction in Category Learning
184,2001,The Semantic Modulation of Deductive Pre,The Semantic Modulation of Deductive Premises
185,2001,Theory-Based Reasoning in Clinical Psych,Theory-Based Reasoning in Clinical Psychologists
186,2001,Evaluating the Effects of Natural Langua,Evaluating the Effects of Natural Language Generation Techniques on Reader Satisfaction
187,2001,Efficacious Logic Instruction People Are,Efficacious Logic Instruction People Are Not Irremediablly Poor Deductive Reasoners
188,2001,Drawing out the temporal Signature of In,Drawing out the temporal Signature of Induced Perceptual Chunks
189,2001,Kinds of Kinds Sources of Category Coher,Kinds of Kinds Sources of Category Coherence
190,2001,The Conscious-Subconscious Interface An ,The Conscious-Subconscious Interface An Emerging Metaphor in HCI
191,2001,Clinging to Beliefs A Constraint-satisfa,Clinging to Beliefs A Constraint-satisfaction Model
192,2001,Two Many Optimalities,Two Many Optimalities
193,2001,Singular and General Causal Arguments,Singular and General Causal Arguments
194,2001,Integrating Distributional Prosodic and ,Integrating Distributional Prosodic and Phonological Information in a Connectionist Model of Language Acquisition
195,2001,Causal Information as a Constraint on Si,Causal Information as a Constraint on Similarity
196,2001,Human Sequence Learning Can Associations,Human Sequence Learning Can Associations Explain Everything
197,2001,The Origin of Somatic Markers A Suggesti,The Origin of Somatic Markers A Suggestion to Damasios Theory Inspired by Deweys Ethics
198,2001,Elementary School Childrens Understandin,Elementary School Childrens Understanding of Experimental Error
199,2001,Age of Acquistion in Connectionist Netwo,Age of Acquistion in Connectionist Networks
200,2001,Testing Hypothesis about Mechanical Devi,Testing Hypothesis about Mechanical Devices
201,2001,A Model of Embodied Communications with ,A Model of Embodied Communications with Gestures between Human and Robots
202,2001,Assessing Generalization in Connectionis,Assessing Generalization in Connectionist and Rule-Based Models Under the Learning Constraint
203,2001,Motor Representations in Memory and Ment,Motor Representations in Memory and Mental Models Embodiement in Cognition
204,2001,Using Cognitive Models to Guide Instruct,Using Cognitive Models to Guide Instructional Design The Case of Fraction Division
205,2001,The Hot Hand in Basketball Fallacy or Ad,The Hot Hand in Basketball Fallacy or Adaptive Thinking
206,2001,Metarepresentation in Philososphy and Ps,Metarepresentation in Philososphy and Psychology
207,2001,The Role of Feedback in Categorisation,The Role of Feedback in Categorisation
208,2001,A Knowledge-Resonance (KRES) Model of Ca,A Knowledge-Resonance (KRES) Model of Category Learning
209,2001,Modeling Tonality Applications to Music ,Modeling Tonality Applications to Music Cognition
210,2001,Is Experts Knowledge Modular,Is Experts Knowledge Modular
211,2001,The Roles of Body and Mind in Abstract T,The Roles of Body and Mind in Abstract Thought
212,2001,How is Abstract Generative Knowledge Acq,How is Abstract Generative Knowledge Acquired A Comparison of Three Learning Scenarios
213,2001,Cue Preference in a Mulitdimensional Cat,Cue Preference in a Mulitdimensional Categorization Task
214,2001,For Better or Worse Modelling Effects of,For Better or Worse Modelling Effects of Semantic Ambiguity
215,2001,On the Evaluation of If p then q Conditi,On the Evaluation of If p then q Conditionals
216,2001,Modelling Language Acquisition Grammar f,Modelling Language Acquisition Grammar from the Lexicon
217,2001,Coordinating Representations in Computer,Coordinating Representations in Computer-Mediated Joint Activities
218,2001,Conceptual Combination as Theory Formati,Conceptual Combination as Theory Formation
219,2001,Graded lexical activation by pseudowords,Graded lexical activation by pseudowords in cross-modal semantic priming Spreading of activation backward priming or repair
220,2001,An Analogue of The Phillips Effect,An Analogue of The Phillips Effect
221,2001,Mental Models and the Meaning of Connect,Mental Models and the Meaning of Connectives A Study in Children Adolescents and Adults
222,2001,Spatial Experience Sensory Qualitities a,Spatial Experience Sensory Qualitities and the Visual Field
223,2001,Understanding Visual Categorization from,Understanding Visual Categorization from the Use of Information
224,2001,Episode Blending as Result of Analogical,Episode Blending as Result of Analogical Problem Solving
225,2001,Effect of Exemplar Typicality on Naming ,Effect of Exemplar Typicality on Naming Deficits in Aphasia
226,2001,How Primitive is Self-Consciousness Auto,How Primitive is Self-Consciousness Autonomous Nonconceptual content and Immunity to Error Through Misidentification
227,2001,Modeling Opportunistic Strategy for Info,Modeling Opportunistic Strategy for Information Navigation
228,2001,Words and Shape Similiarity Guide 13-mon,Words and Shape Similiarity Guide 13-month-olds Inferences about Nonobvious Object Properties
229,2001,A Selective Attention Based Method for V,A Selective Attention Based Method for Visual Pattern Recognition
230,2001,Mice Trap A New Explanation for Irregula,Mice Trap A New Explanation for Irregular Plurals in Noun-Noun Compunds
231,2001,The Mechanics of Associative Change,The Mechanics of Associative Change
232,2001,The Fate of Irrelevant Information in An,The Fate of Irrelevant Information in Analogical Mapping
233,2001,Towards a Theory of Semantic Space,Towards a Theory of Semantic Space
234,2001,A Perceptually Driven Dynamical Model of,A Perceptually Driven Dynamical Model of Rhythmic Limb Movement and Bimanual Coordination
235,2001,Decomposing Interactive Behavior,Decomposing Interactive Behavior
236,2001,Visual Statistical Learning in Infants,Visual Statistical Learning in Infants
237,2001,On the Normativity of Failing to Recall ,On the Normativity of Failing to Recall Valid Advice
238,2001,Visual Expertise is a General Skill,Visual Expertise is a General Skill
239,2001,The Role of Velocity in Affect Discrimin,The Role of Velocity in Affect Discrimination
240,2001,Access to Relational Knowledge A Compari,Access to Relational Knowledge A Comparison of Two Models
241,2001,On Choosing the Parse with the Scene The,On Choosing the Parse with the Scene The Role of Visual Context and Verb bias in Ambiguity Resolution
242,2001,Imagery Context Availabilty Contextual C,Imagery Context Availabilty Contextual Constraint and Abstractness
243,2001,Modeling the Detailed Pattern of SRT Seq,Modeling the Detailed Pattern of SRT Sequence Learning
244,2001,The Processing  Recognition of Symbol Se,The Processing  Recognition of Symbol Sequences
245,2001,Using Distributional Measures to Model T,Using Distributional Measures to Model Typicality in Categorization
246,2001,Costs of Switching Perspectives in Route,Costs of Switching Perspectives in Route and Survey Descriptions
247,2001,Activating Verbs from Typical Agents Pat,Activating Verbs from Typical Agents Patients Instruments and Locations via Event Schemas
248,2001,A Connectionist Investigtion of Linguist,A Connectionist Investigtion of Linguistic Arguments from the Poverty of the Stimulus Learning the Unlearnable
249,2001,Where Do Probability Judgments Come From,Where Do Probability Judgments Come From Evidence for Similiarity - Graded Probability
250,2001,Thats Odd How Scientists Respond to Anom,Thats Odd How Scientists Respond to Anomalous Data
251,2001,Emergence of Effects of Collaboration in,Emergence of Effects of Collaboration in a Simple Discovery Task
252,2001,Extending the Past-tense Debate a Model ,Extending the Past-tense Debate a Model of the German Plural
253,2001,Representational Form and Communicative ,Representational Form and Communicative Use
254,2001,A New Model of Graph and Visualization U,A New Model of Graph and Visualization Usage
255,2001,Training for Insight The Case of the Nin,Training for Insight The Case of the Nine-Dot Problem
256,2001,Modeling the Interplay of Emotions and P,Modeling the Interplay of Emotions and Plans in Multi-Agent Simulations
257,2001,The Effects of Reducing Information on a,The Effects of Reducing Information on a Modified Prisoners Dilemma Game
258,2001,Supporting Understanding Through Task an,Supporting Understanding Through Task and Browser Design
259,2001,The Impact of Feedback Semantics in Visu,The Impact of Feedback Semantics in Visual Worrd Recognition Number of Features Effects in Lexical Decision and Naming Tasks
260,2001,When knowledge is unconscious because of,When knowledge is unconscious because of conscious knowledge and vice versa
261,2001,Language is Spatial Experimental Evidenc,Language is Spatial Experimental Evidence for Image Schemas of Concrete and Abstract Verbs
262,2001,Effect of Choice Set on Valuation of Ris,Effect of Choice Set on Valuation of Risky Prospects
263,2001,How Nouns and Verbs Differentially Affec,How Nouns and Verbs Differentially Affect the Behavior of Artificial Organisms
264,2001,Does pure water boil when its heated to ,Does pure water boil when its heated to 100C The associative Strength of Disabling Conditions in Conditional Reasoning
265,2001,A Computational Model of Counterfactual ,A Computational Model of Counterfactual Thinkin The Temporal Order Effect
266,2001,A Parser for Harmonic Context-Free Gramm,A Parser for Harmonic Context-Free Grammars
267,2001,Pragmatics at Work Formulation and Inter,Pragmatics at Work Formulation and Interpretation of Conditional Instructions
268,2001,Investigating Dissociations Betweend Per,Investigating Dissociations Betweend Perceptual Categorization and Explicit Memory
269,2001,Neural Synchrony Through Controlled Trac,Neural Synchrony Through Controlled Tracking
270,2001,Regularity and Irregularity in an Inflec,Regularity and Irregularity in an Inflectionally Complex Language Evidence form Polish
271,2001,Combining Integral and Seperable Subspac,Combining Integral and Seperable Subspaces
272,2001,Referential Form Word Duration and Model,Referential Form Word Duration and Modeling the Listener in Spoken Dialogue
273,2001,Dissecting Common Ground Examining an In,Dissecting Common Ground Examining an Instance of Reference Repair
274,2001,Cue-Readiness in Insight Problem-Solving,Cue-Readiness in Insight Problem-Solving
275,2001,Ties That Bind Reconciling Discrepancies,Ties That Bind Reconciling Discrepancies Between Categorization and Naminf
276,2001,The Effect of Practice on Strategy Chang,The Effect of Practice on Strategy Change
277,2001,Interactive Models of Collaborative Comm,Interactive Models of Collaborative Communication
278,2001,Reference-point Reasoning and Comparison,Reference-point Reasoning and Comparison Asymmetries
279,2001,Adaptive Selection of Problem Solving St,Adaptive Selection of Problem Solving Strategies
280,2001,What Can Homophone Effects Tell Us About,What Can Homophone Effects Tell Us About the Nature of Orthographic Representation in Visual Word Recognition
281,2001,Memory Representations of Source Informa,Memory Representations of Source Information
282,2001,Inferences About Personal Identity,Inferences About Personal Identity
283,2001,A Model Theory of Deontic Reasoning Abou,A Model Theory of Deontic Reasoning About Social Norms
284,2001,Distributed Cognition in Apes,Distributed Cognition in Apes
285,2001,Deference in Categorisation Evidence for,Deference in Categorisation Evidence for Essentialism
286,2001,Representation Where Philosophy Goes Whe,Representation Where Philosophy Goes When It Dies
287,2001,The Roles of Thought and Experience in t,The Roles of Thought and Experience in the Understanding of Spatio-temporal Metaphors
288,2001,Hemispheric lateralisation of the word l,Hemispheric lateralisation of the word length effect in Chinese character recognition
289,2001,Beliefs Versus Knowledge A Necessary Dis,Beliefs Versus Knowledge A Necessary Distinction for Explaining Predicting and Assessing Conceptual Change
290,2001,How Learning can guide evolution in hier,How Learning can guide evolution in hierarchical modular tasks
291,2001,The Origins of Syllable Systems An Opera,The Origins of Syllable Systems An Operational Model
292,2001,Interactions Between Frequenct Effects a,Interactions Between Frequenct Effects and Age of Acquisition Effects in a Connectionist Network
293,2001,Superstitious Perceptions,Superstitious Perceptions
294,2001,Using a Triad Judgment Task to Exam ine ,Using a Triad Judgment Task to Exam ine the Effect of Experience on Problem Representation in Statistics
295,2001,Selection Procedures for Module Discover,Selection Procedures for Module Discovery Exploring Evolutionary Algorithms for cognitive Science
296,2001,Testing the Distributioanl Hypothesis Th,Testing the Distributioanl Hypothesis The influence of Context on Judgements of Semantic Similarity
